epochs,col_one_agg,col_two_agg,col_one_loc,col_two_loc,agg_loc,agg_agg
1,0.21746269035339355,0.21746269035339355,0.36417253398895266,0.3836324090957642,0.3739,0.2175
2,0.36509132766723634,0.36509132766723634,0.3982315969467163,0.4016683578491211,0.3999,0.3651
3,0.4071170787811279,0.4071170787811279,0.4108453006744385,0.43101009941101076,0.4209,0.4071
4,0.4315022258758545,0.4315022258758545,0.4288771333694458,0.44895076179504395,0.4389,0.4315
5,0.44943283462524414,0.44943283462524414,0.4539326801300049,0.45040786743164063,0.4522,0.4494
6,0.46082879638671875,0.46082879638671875,0.4066870012283325,0.4485629234313965,0.4276,0.4608
7,0.44799193954467775,0.44799193954467775,0.42526458168029785,0.5001772727966308,0.4627,0.448
8,0.4901988792419434,0.4901988792419434,0.5008302497863769,0.4948897953033447,0.4979,0.4902
9,0.5141374588012695,0.5141374588012695,0.46821607208251953,0.5137843151092529,0.491,0.5141
10,0.5162864360809326,0.5162864360809326,0.537097354888916,0.5307289161682129,0.5339,0.5163
11,0.54550954246521,0.54550954246521,0.5352171401977539,0.5202546176910401,0.5277,0.5455
12,0.5436390762329102,0.5436390762329102,0.5235406608581543,0.5715500011444091,0.5475,0.5436
13,0.5696275501251221,0.5696275501251221,0.59785817527771,0.554293041229248,0.5761,0.5696
14,0.6261295223236084,0.6261295223236084,0.5664046878814697,0.6166384735107422,0.5915,0.6261
15,0.6130432758331299,0.6130432758331299,0.5991535396575928,0.6151490440368652,0.6072,0.613
16,0.6259452285766601,0.6259452285766601,0.6133883953094482,0.6406467552185059,0.627,0.6259
17,0.6452624568939209,0.6452624568939209,0.6290583686828614,0.634637523651123,0.6318,0.6453
18,0.6704119567871094,0.6704119567871094,0.6410388965606689,0.6691607055664063,0.6551,0.6704
19,0.6922372589111329,0.6922372589111329,0.7017749176025391,0.6715706729888916,0.6867,0.6922
20,0.7068658771514893,0.7068658771514893,0.6964505729675293,0.6693237972259521,0.6829,0.7069
21,0.6935117797851562,0.6935117797851562,0.694184196472168,0.7027998600006103,0.6985,0.6935
22,0.7293434944152832,0.7293434944152832,0.6867919025421143,0.6698385334014892,0.6783,0.7293
23,0.7106908836364746,0.7106908836364746,0.7005622940063476,0.6750804328918457,0.6878,0.7107
24,0.7328273487091065,0.7328273487091065,0.6981537532806397,0.7012220592498779,0.6997,0.7328
25,0.7236793422698975,0.7236793422698975,0.7101870403289795,0.6891857376098632,0.6997,0.7237
26,0.7163740825653077,0.7163740825653077,0.6341391353607178,0.6732664470672607,0.6537,0.7164
27,0.7120810127258301,0.7120810127258301,0.7308144969940186,0.7542896041870117,0.7426,0.7121
28,0.7665489234924316,0.7665489234924316,0.7620443611145019,0.7537446174621582,0.7579,0.7665
29,0.7788148956298828,0.7788148956298828,0.7577989273071289,0.7291607761383057,0.7435,0.7788
30,0.7828102588653565,0.7828102588653565,0.713948408126831,0.7618966999053955,0.7379,0.7828
31,0.7737880325317383,0.7737880325317383,0.7597757682800294,0.7688353061676025,0.7643,0.7738
32,0.7811917190551758,0.7811917190551758,0.7212307395935058,0.7558708305358887,0.7386,0.7812
33,0.7754130439758301,0.7754130439758301,0.7536901226043701,0.7332361660003662,0.7435,0.7754
34,0.770613468170166,0.770613468170166,0.7408575401306152,0.6898217964172363,0.7153,0.7706
35,0.7742519493103027,0.7742519493103027,0.7666693572998047,0.7600664405822753,0.7634,0.7743
36,0.7855129699707031,0.7855129699707031,0.7663021430969238,0.7768766574859619,0.7716,0.7855
37,0.7900907402038574,0.7900907402038574,0.760894874572754,0.7704978713989258,0.7657,0.7901
38,0.7913912010192871,0.7913912010192871,0.7653996715545655,0.7565687408447266,0.761,0.7914
39,0.7873834609985352,0.7873834609985352,0.7591537284851074,0.7910639152526856,0.7751,0.7874
40,0.7944247055053711,0.7944247055053711,0.7881844310760499,0.7550362091064453,0.7716,0.7944
