epochs,col_one_agg,col_two_agg,col_one_loc,col_two_loc,agg_loc,agg_agg
1,0.21706336879730226,0.21706336879730226,0.3724121437072754,0.38092129707336425,0.3767,0.2171
2,0.36910249614715573,0.36910249614715573,0.4044791259765625,0.4123694019317627,0.4084,0.3691
3,0.4172705745697021,0.4172705745697021,0.43162180137634276,0.4344060554504395,0.433,0.4173
4,0.4430809955596924,0.4430809955596924,0.4496149387359619,0.4304830627441406,0.44,0.4431
5,0.4525749130249023,0.4525749130249023,0.4460626258850098,0.45013550567626953,0.4481,0.4526
6,0.4639172592163086,0.4639172592163086,0.4335473079681397,0.48660600852966307,0.4601,0.4639
7,0.4788368911743164,0.4788368911743164,0.48176582145690916,0.43663194274902345,0.4592,0.4788
8,0.4926743354797363,0.4926743354797363,0.5027427463531494,0.49983107757568357,0.5013,0.4927
9,0.5084114990234375,0.5084114990234375,0.500883939743042,0.5221079978942871,0.5115,0.5084
10,0.5298999481201172,0.5298999481201172,0.5369651374816895,0.500984037399292,0.519,0.5299
11,0.5598272914886475,0.5598272914886475,0.5463946018218994,0.5392488250732422,0.5428,0.5598
12,0.5473406715393067,0.5473406715393067,0.5617510471343994,0.5634729404449463,0.5626,0.5473
13,0.5867256202697754,0.5867256202697754,0.5324513530731201,0.5927430362701416,0.5626,0.5867
14,0.5938432998657227,0.5938432998657227,0.5910707244873047,0.5775792922973633,0.5843,0.5938
15,0.6272716255187988,0.6272716255187988,0.5669875946044922,0.615554630279541,0.5913,0.6273
16,0.6088797645568848,0.6088797645568848,0.6229814968109131,0.5955508651733399,0.6093,0.6089
17,0.6377964706420899,0.6377964706420899,0.6334211044311523,0.6505693302154542,0.642,0.6378
18,0.6646044063568115,0.6646044063568115,0.6321086368560791,0.638740837097168,0.6354,0.6646
19,0.6758822326660157,0.6758822326660157,0.6727488555908203,0.6847980461120605,0.6788,0.6759
20,0.7122917537689208,0.7122917537689208,0.6936390075683594,0.684457431793213,0.689,0.7123
21,0.7091232452392578,0.7091232452392578,0.677785083770752,0.6723673324584961,0.6751,0.7091
22,0.7225330085754395,0.7225330085754395,0.706367130279541,0.6927403964996338,0.6996,0.7225
23,0.7305658836364746,0.7305658836364746,0.7069337234497071,0.692402328491211,0.6997,0.7306
24,0.7374836120605469,0.7374836120605469,0.7330005035400391,0.7276323318481446,0.7303,0.7375
25,0.756570743560791,0.756570743560791,0.7206443519592285,0.7084757575988769,0.7146,0.7566
26,0.7502644119262696,0.7502644119262696,0.7235984706878662,0.721761360168457,0.7227,0.7503
27,0.7441647415161132,0.7441647415161132,0.7289010581970214,0.7670046997070312,0.748,0.7442
28,0.7680232009887695,0.7680232009887695,0.6706619644165039,0.7414613609313965,0.7061,0.768
29,0.7618731651306152,0.7618731651306152,0.7574328346252441,0.7493586654663086,0.7534,0.7619
30,0.7755116157531738,0.7755116157531738,0.7024514808654785,0.7163985939025879,0.7094,0.7755
31,0.7459073524475097,0.7459073524475097,0.7390664291381835,0.7522810134887695,0.7457,0.7459
32,0.7764606552124024,0.7764606552124024,0.7596318397521973,0.7612505722045898,0.7604,0.7765
33,0.7802085990905762,0.7802085990905762,0.687039171218872,0.7526715316772461,0.7199,0.7802
34,0.7892435188293457,0.7892435188293457,0.7515976448059082,0.7441707305908203,0.7479,0.7892
35,0.7700700721740723,0.7700700721740723,0.7538939208984375,0.7778093147277833,0.7659,0.7701
36,0.7868366813659669,0.7868366813659669,0.7670096130371094,0.7680950012207032,0.7676,0.7868
37,0.8070551147460937,0.8070551147460937,0.7854908828735352,0.7668661117553711,0.7762,0.8071
38,0.8072445144653321,0.8072445144653321,0.7182584438323975,0.7844042091369628,0.7513,0.8072
39,0.7808202743530274,0.7808202743530274,0.789149269104004,0.7768406143188477,0.783,0.7808
40,0.8000071182250976,0.8000071182250976,0.773967960357666,0.7838187980651855,0.7789,0.8
