epochs,col_one_agg,col_two_agg,col_one_loc,col_two_loc,agg_loc,agg_agg
1,0.21764528083801268,0.21764528083801268,0.4104513397216797,0.42250029373168946,0.4165,0.2176
2,0.3930568027496338,0.3930568027496338,0.3934595127105713,0.4087525577545166,0.4011,0.3931
3,0.4123212661743164,0.4123212661743164,0.43769524002075194,0.4263908805847168,0.432,0.4123
4,0.44546449089050294,0.44546449089050294,0.4439176940917969,0.4209679298400879,0.4324,0.4455
5,0.4630871200561523,0.4630871200561523,0.45052251243591307,0.4539495391845703,0.4522,0.4631
6,0.4701062488555908,0.4701062488555908,0.4824213752746582,0.47868717002868655,0.4806,0.4701
7,0.48971153259277345,0.48971153259277345,0.462156925201416,0.5012551155090332,0.4817,0.4897
8,0.5089265995025635,0.5089265995025635,0.4888765316009521,0.5062120571136475,0.4975,0.5089
9,0.5322893772125245,0.5322893772125245,0.5136991691589355,0.5182286224365235,0.516,0.5323
10,0.5487466926574707,0.5487466926574707,0.5159244384765626,0.51890012550354,0.5174,0.5487
11,0.5457626171112061,0.5457626171112061,0.5199041233062744,0.48816067123413087,0.504,0.5458
12,0.5212099571228027,0.5212099571228027,0.5088999881744385,0.5843429794311523,0.5466,0.5212
13,0.5590700016021729,0.5590700016021729,0.5575140933990479,0.5940922832489014,0.5758,0.5591
14,0.6149513092041016,0.6149513092041016,0.612502519607544,0.6404777374267578,0.6265,0.615
15,0.6449023895263671,0.6449023895263671,0.6270115203857421,0.6146147365570068,0.6208,0.6449
16,0.6467178382873535,0.6467178382873535,0.640795763015747,0.6629382801055909,0.6519,0.6467
17,0.6828876953125,0.6828876953125,0.6306652946472168,0.6530252990722656,0.6418,0.6829
18,0.6734422626495361,0.6734422626495361,0.635880973815918,0.6926158561706542,0.6642,0.6734
19,0.6807264442443848,0.6807264442443848,0.6895638236999512,0.6774721794128418,0.6835,0.6807
20,0.7109067420959473,0.7109067420959473,0.6974200267791748,0.687745512008667,0.6926,0.7109
21,0.7273595275878906,0.7273595275878906,0.6767491798400879,0.7010422744750977,0.6889,0.7274
22,0.7115610828399658,0.7115610828399658,0.7195156211853028,0.7210097332000732,0.7203,0.7116
23,0.7494270286560059,0.7494270286560059,0.7116739253997802,0.7227944068908692,0.7172,0.7494
24,0.7380548400878906,0.7380548400878906,0.6882399826049804,0.7129298477172852,0.7006,0.7381
25,0.7301364326477051,0.7301364326477051,0.6867036018371582,0.7392409858703614,0.713,0.7301
26,0.7437071723937988,0.7437071723937988,0.7344818420410156,0.7387113189697265,0.7366,0.7437
27,0.7545654487609863,0.7545654487609863,0.7008808097839355,0.7225506725311279,0.7117,0.7546
28,0.7517820472717285,0.7517820472717285,0.7511764488220215,0.7352139282226563,0.7432,0.7518
29,0.7569854164123535,0.7569854164123535,0.7234989223480225,0.760547477722168,0.742,0.757
30,0.7666548118591309,0.7666548118591309,0.7460879249572754,0.7384191799163818,0.7423,0.7667
31,0.7581604614257812,0.7581604614257812,0.6972598075866699,0.7406059837341309,0.7189,0.7582
32,0.7422702102661133,0.7422702102661133,0.7422397842407227,0.7542484188079834,0.7482,0.7423
33,0.7682818069458007,0.7682818069458007,0.7209420127868652,0.7417526988983154,0.7313,0.7683
34,0.7651976318359375,0.7651976318359375,0.7393056907653809,0.7156178722381592,0.7275,0.7652
35,0.7545927925109863,0.7545927925109863,0.7320492858886719,0.7496765003204345,0.7409,0.7546
36,0.7645364723205567,0.7645364723205567,0.7351980152130126,0.7495917358398437,0.7424,0.7645
37,0.7713212928771973,0.7713212928771973,0.7632864589691162,0.7647172622680664,0.764,0.7713
38,0.7916572570800782,0.7916572570800782,0.7615712985992432,0.7874765491485596,0.7745,0.7917
39,0.7900584201812744,0.7900584201812744,0.6958241653442383,0.7524364967346191,0.7241,0.7901
40,0.7525749053955079,0.7525749053955079,0.7625480098724365,0.7649007148742676,0.7637,0.7526
